Signature,NamePKO,Country,Year,mandate_renewal,mandate_completeadjustment,date,disarmdemob_monitor,disarmdemob_assist,disarmdemob_encouraged,disarmdemob_security,reintegration_monitor,reintegration_assist,reintegration_security,reintegration_encouraged,controlsalw_monitor,controlsalw_assist,controlsalw_encouraged,controlsalw_security,armsembargo_monitor,armsembargo_assist,armsembargo_encouraged,armsembargo_security,civprotect_monitor,civprotect_assist,civprotect_security,civprotect_encouraged,humanrights_monitor,humanrights_assist,humanrights_encouraged,humanrights_security,childrights_monitor,childrights_assist,childrights_encouraged,childrights_security,sgbviolence_monitor,sgbviolence_assist,sgbviolence_encouraged,sgbviolence_security,policereform_monitor,policereform_assist,policereform_encouraged,policereform_security,militaryreform_monitor,militaryreform_assist,militaryreform_encouraged,militaryreform_security,demil_monitor,demil_assist,demil_security,demil_encouraged,offensoper_assist,offensoper_security,offensoper_monitor,offensoper_encouraged,justicereform_monitor,justicereform_assist,justicereform_encouraged,justicereform_security,transjustice_monitor,transjustice_assist,transjustice_encouraged,transjustice_security,correctionsreform_monitor,correctionsreform_assist,correctionsreform_encouraged,correctionsreform_security,bordercontrol_monitor,bordercontrol_assist,bordercontrol_encouraged,bordercontrol_security,demining_monitor,demining_assist,demining_encouraged,demining_security,resources_monitor,resources_assist,resources_security,resources_encouraged,stateauthority_monitor,stateauthority_assist,stateauthority_encouraged,stateauthority_security,democratization_monitor,democratization_assist,democratization_encouraged,democratization_security,electsec_monitor,electsec_assist,electsec_encouraged,electassist_monitor,electassist_assist,electassist_encouraged,electassist_security,votereducation_monitor,votereducation_assist,votereducation_security,votereducation_encouraged,polpartyassist_monitor,polpartyassist_assist,polpartyassist_encouraged,polpartyassist_security,civilsociety_monitor,civilsociety_assist,civilsociety_security,civilsociety_encouraged,media_monitor,media_assist,media_encouraged,media_security,publicinfo_assist,publicinfo_encouraged,publicinfo_monitor,publicinfo_security,powersharing_monitor,powersharing_assist,powersharing_encouraged,powersharing_security,reconcil_monitor,reconcil_assist,reconcil_encouraged,reconcil_security,localreconcil_monitor,localreconcil_assist,localreconcil_encouraged,localreconcil_security,regreconcil_monitor,regreconcil_assist,regreconcil_encouraged,regreconcil_security,ecdevelop_monitor,ecdevelop_assist,ecdevelop_encouraged,ecdevelop_security,humanrelief_monitor,humanrelief_assist,humanrelief_encouraged,humanrelief_security,publichealth_monitor,publichealth_assist,publichealth_encouraged,publichealth_security,refugeeidps_monitor,refugeeidps_assist,refugeeidps_encouraged,refugeeidps_security,gender_monitor,gender_assist,gender_encouraged,gender_security,legalreform_monitor,legalreform_assist,legalreform_encouraged,legalreform_security,ceasefire_monitor,ceasefire_assist,ceasefire_encouraged,ceasefire_security,peaceprocess_monitor,peaceprocess_assist,peaceprocess_encouraged,peaceprocess_security,culturalheritage_assist,culturalheritage_security,culturalheritage_monitor,culturalheritage_encouraged
"S/RES/1524","UNOMIG","Georgia",2004,1,0,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/937 paragraph(s) 6c, 6d, 6e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1524 paragraph(s) 14","","","","","","","","","","","Mandated in previous resolution in S/RES/858 paragraph(s) 2a, 2b","Mandated in previous resolution in S/RES/858 paragraph(s) 2a","","","","","","","","","",""
"S/RES/1615","UNOMIG","Georgia",2005,1,0,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/937 paragraph(s) 6c, 6d, 6e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1752 paragraph(s) 4","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1036 paragraph(s) 8","","","","","","","","","","","Mandated in previous resolution in S/RES/858 paragraph(s) 2a, 2b","Mandated in previous resolution in S/RES/858 paragraph(s) 2a","","","Mandated in previous resolution in S/RES/881 paragraph(s) 4b","","","","","","",""
"S/RES/1582","UNOMIG","Georgia",2005,1,0,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/937 paragraph(s) 6c, 6d, 6e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1752 paragraph(s) 4","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1036 paragraph(s) 8","","","","","","","","","","","Mandated in previous resolution in S/RES/858 paragraph(s) 2a, 2b","Mandated in previous resolution in S/RES/858 paragraph(s) 2a","","","Mandated in previous resolution in S/RES/881 paragraph(s) 4b","","","","","","",""
"S/RES/1666","UNOMIG","Georgia",2006,1,0,31mar2006,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1716","UNOMIG","Georgia",2006,1,0,13oct2006,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1656","UNOMIG","Georgia",2006,1,0,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1781","UNOMIG","Georgia",2007,1,0,15oct2007,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1752","UNOMIG","Georgia",2007,1,0,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/937 paragraph(s) 6c, 6d, 6e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1752 paragraph(s) 4","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1036 paragraph(s) 8","","","","","","","","","","","Mandated in previous resolution in S/RES/858 paragraph(s) 2a, 2b","Mandated in previous resolution in S/RES/858 paragraph(s) 2a","","","Mandated in previous resolution in S/RES/881 paragraph(s) 4b","","","","","","",""
"S/RES/1839","UNOMIG","Georgia",2008,1,0,09oct2008,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1808","UNOMIG","Georgia",2008,1,0,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1866","UNOMIG","Georgia",2009,1,0,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1494 paragraph(s) 14, 17","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/866","UNOMIL","Liberia",1993,0,0,,"Mandated in current resolution in S/RES/866 paragraph(s) 3b","Mandated in current resolution in S/RES/866 paragraph(s) 3e","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/866 paragraph(s) 3f","Mandated in previous resolution in S/RES/1020 paragraph(s) 2f","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1020 paragraph(s) 2c","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/866 paragraph(s) 3b","","","","","Mandated in current resolution in S/RES/866 paragraph(s) 3g","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/866 paragraph(s) 3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/866 paragraph(s) 3d","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/866 paragraph(s) 3a","","","","","","","","","","",""
"S/RES/950","UNOMIL","Liberia",1994,1,0,21oct1994,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/911","UNOMIL","Liberia",1994,1,0,,"Mandated in previous resolution in S/RES/866 paragraph(s) 3b","Mandated in previous resolution in S/RES/866 paragraph(s) 3e","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/866 paragraph(s) 3f","Mandated in previous resolution in S/RES/1020 paragraph(s) 2f","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1020 paragraph(s) 2c","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/866 paragraph(s) 3b","","","","","Mandated in previous resolution in S/RES/866 paragraph(s) 3g","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/866 paragraph(s) 3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/866 paragraph(s) 3d","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/866 paragraph(s) 3a","","","","","","","","","","",""
"S/RES/1001","UNOMIL","Liberia",1995,1,0,,"Mandated in previous resolution in S/RES/1020 paragraph(s) 2c","Mandated in previous resolution in S/RES/1020 paragraph(s) 2d","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1020 paragraph(s) 2f","Mandated in previous resolution in S/RES/1020 paragraph(s) 2f","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1020 paragraph(s) 2c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1020 paragraph(s) 2g","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1020 paragraph(s) 2e","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1020 paragraph(s) 2b","","","","","","","","","","",""
"S/RES/972","UNOMIL","Liberia",1995,1,0,,"Mandated in previous resolution in S/RES/866 paragraph(s) 3b","Mandated in previous resolution in S/RES/866 paragraph(s) 3e","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/866 paragraph(s) 3f","Mandated in previous resolution in S/RES/1020 paragraph(s) 2f","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1020 paragraph(s) 2c","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/866 paragraph(s) 3b","","","","","Mandated in previous resolution in S/RES/866 paragraph(s) 3g","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/866 paragraph(s) 3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/866 paragraph(s) 3d","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/866 paragraph(s) 3a","","","","","","","","","","",""
"S/RES/985","UNOMIL","Liberia",1995,1,0,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1020","UNOMIL","Liberia",1995,1,0,,"Mandated in current resolution in S/RES/1020 paragraph(s) 2c","Mandated in current resolution in S/RES/1020 paragraph(s) 2d","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1020 paragraph(s) 2f","Mandated in current resolution in S/RES/1020 paragraph(s) 2f","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1020 paragraph(s) 2c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1020 paragraph(s) 2g","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1020 paragraph(s) 2e","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1020 paragraph(s) 2b","","","","","","","","","","",""
"S/RES/1014","UNOMIL","Liberia",1995,1,0,,"Mandated in previous resolution in S/RES/866 paragraph(s) 3b","Mandated in previous resolution in S/RES/866 paragraph(s) 3e","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/866 paragraph(s) 3f","Mandated in previous resolution in S/RES/1020 paragraph(s) 2f","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1020 paragraph(s) 2c","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/866 paragraph(s) 3b","","","","","Mandated in previous resolution in S/RES/866 paragraph(s) 3g","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/866 paragraph(s) 3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/866 paragraph(s) 3d","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/866 paragraph(s) 3a","","","","","","","","","","",""
"S/RES/1050","UNOMIL","Liberia",1996,1,0,31may1996,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1071","UNOMIL","Liberia",1996,1,0,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1083","UNOMIL","Liberia",1996,1,0,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1041","UNOMIL","Liberia",1996,1,0,,"Mandated in previous resolution in S/RES/1020 paragraph(s) 2c","Mandated in previous resolution in S/RES/1020 paragraph(s) 2d","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1020 paragraph(s) 2f","Mandated in previous resolution in S/RES/1020 paragraph(s) 2f","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1020 paragraph(s) 2c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1020 paragraph(s) 2g","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1020 paragraph(s) 2e","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1020 paragraph(s) 2b","","","","","","","","","","",""
"S/RES/1100","UNOMIL","Liberia",1997,1,0,27mar1997,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1116","UNOMIL","Liberia",1997,1,0,,"Mandated in previous resolution in S/RES/1020 paragraph(s) 2c","Mandated in previous resolution in S/RES/1020 paragraph(s) 2d","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1020 paragraph(s) 2f","Mandated in previous resolution in S/RES/1020 paragraph(s) 2f","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1020 paragraph(s) 2c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1020 paragraph(s) 2g","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1020 paragraph(s) 2e","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/1020 paragraph(s) 2b","","","","","","","","","","",""
"S/RES/797","UNOMOZ","Mozambique",1992,0,0,16dec1992,"Mandated in current resolution in S/RES/797 paragraph(s) 2","Mandated in current resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/797 paragraph(s) 2","Mandated in current resolution in S/RES/797 paragraph(s) 2","","","","Mandated in current resolution in S/RES/797 paragraph(s) 2","","","Mandated in current resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/797 paragraph(s) 2","","","","","","","","Mandated in current resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","","Mandated in current resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","",""
"S/RES/879","UNOMOZ","Mozambique",1993,1,0,29oct1993,"Mandated in previous resolution in S/RES/797 paragraph(s) 2","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","",""
"S/RES/818","UNOMOZ","Mozambique",1993,1,0,,"Mandated in previous resolution in S/RES/797 paragraph(s) 2","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/957 paragraph(s) 4","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","",""
"S/RES/882","UNOMOZ","Mozambique",1993,1,0,,"Mandated in previous resolution in S/RES/797 paragraph(s) 2","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","",""
"S/RES/916","UNOMOZ","Mozambique",1994,1,0,05may1994,"Mandated in previous resolution in S/RES/797 paragraph(s) 2","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","",""
"S/RES/957","UNOMOZ","Mozambique",1994,1,0,,"Mandated in previous resolution in S/RES/797 paragraph(s) 2","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/957 paragraph(s) 4","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","",""
"S/RES/898","UNOMOZ","Mozambique",1994,1,0,,"Mandated in previous resolution in S/RES/797 paragraph(s) 2","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/898 paragraph(s) 2","","","","","","","","","","","","Mandated in current resolution in S/RES/898 paragraph(s) 2","Mandated in current resolution in S/RES/898 paragraph(s) 2","","","Mandated in current resolution in S/RES/898 paragraph(s) 2","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/957 paragraph(s) 4","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/898 paragraph(s) 2","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","Mandated in current resolution in S/RES/898 paragraph(s) 2","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","Mandated in current resolution in S/RES/898 paragraph(s) 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","","Mandated in previous resolution in S/RES/797 paragraph(s) 2","","","","","","","","","","",""
"S/RES/1181","UNOMSIL","Sierra Leone",1998,0,0,,"Mandated in current resolution in S/RES/1181 paragraph(s) 6b, 6d","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1181 paragraph(s) 8b","Mandated in current resolution in S/RES/1181 paragraph(s) 8b","","","","Mandated in previous resolution in S/RES/1260 paragraph(s) 16","","","","","","","Mandated in current resolution in S/RES/1181 paragraph(s) 8a","Mandated in current resolution in S/RES/1181 paragraph(s) 8a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1231","UNOMSIL","Sierra Leone",1999,1,0,11mar1999,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1245","UNOMSIL","Sierra Leone",1999,1,0,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1220","UNOMSIL","Sierra Leone",1999,1,0,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/1260","UNOMSIL","Sierra Leone",1999,1,0,,"","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/1260 paragraph(s) 16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/846","UNOMUR","Rwanda",1993,0,0,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mandated in current resolution in S/RES/846 paragraph(s) 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S/RES/794","UNOSOM I","Somalia",1992,0,0,03dec1992,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
