Signature,NamePKO,Country,Year,date2,mandate_renewal,mandate_completeadjustment,disarmdemob_monitor,disarmdemob_assist,disarmdemob_encouraged,disarmdemob_security,reintegration_monitor,reintegration_assist,reintegration_security,reintegration_encouraged,controlsalw_monitor,controlsalw_assist,controlsalw_encouraged,controlsalw_security,armsembargo_monitor,armsembargo_assist,armsembargo_encouraged,armsembargo_security,civprotect_monitor,civprotect_assist,civprotect_security,civprotect_encouraged,humanrights_monitor,humanrights_assist,humanrights_encouraged,humanrights_security,childrights_monitor,childrights_assist,childrights_encouraged,childrights_security,sgbviolence_monitor,sgbviolence_assist,sgbviolence_encouraged,sgbviolence_security,policereform_monitor,policereform_assist,policereform_encouraged,policereform_security,militaryreform_monitor,militaryreform_assist,militaryreform_encouraged,militaryreform_security,demil_monitor,demil_assist,demil_security,demil_encouraged,offensoper_assist,offensoper_security,offensoper_monitor,offensoper_encouraged,justicereform_monitor,justicereform_assist,justicereform_encouraged,justicereform_security,transjustice_monitor,transjustice_assist,transjustice_encouraged,transjustice_security,correctionsreform_monitor,correctionsreform_assist,correctionsreform_encouraged,correctionsreform_security,bordercontrol_monitor,bordercontrol_assist,bordercontrol_encouraged,bordercontrol_security,demining_monitor,demining_assist,demining_encouraged,demining_security,resources_monitor,resources_assist,resources_security,resources_encouraged,stateauthority_monitor,stateauthority_assist,stateauthority_encouraged,stateauthority_security,democratization_monitor,democratization_assist,democratization_encouraged,democratization_security,electsec_monitor,electsec_assist,electsec_encouraged,electassist_monitor,electassist_assist,electassist_encouraged,electassist_security,votereducation_monitor,votereducation_assist,votereducation_security,votereducation_encouraged,polpartyassist_monitor,polpartyassist_assist,polpartyassist_encouraged,polpartyassist_security,civilsociety_monitor,civilsociety_assist,civilsociety_security,civilsociety_encouraged,media_monitor,media_assist,media_encouraged,media_security,publicinfo_assist,publicinfo_encouraged,publicinfo_monitor,publicinfo_security,powersharing_monitor,powersharing_assist,powersharing_encouraged,powersharing_security,reconcil_monitor,reconcil_assist,reconcil_encouraged,reconcil_security,localreconcil_monitor,localreconcil_assist,localreconcil_encouraged,localreconcil_security,regreconcil_monitor,regreconcil_assist,regreconcil_encouraged,regreconcil_security,ecdevelop_monitor,ecdevelop_assist,ecdevelop_encouraged,ecdevelop_security,humanrelief_monitor,humanrelief_assist,humanrelief_encouraged,humanrelief_security,publichealth_monitor,publichealth_assist,publichealth_encouraged,publichealth_security,refugeeidps_monitor,refugeeidps_assist,refugeeidps_encouraged,refugeeidps_security,gender_monitor,gender_assist,gender_encouraged,gender_security,legalreform_monitor,legalreform_assist,legalreform_encouraged,legalreform_security,ceasefire_monitor,ceasefire_assist,ceasefire_encouraged,ceasefire_security,peaceprocess_monitor,peaceprocess_assist,peaceprocess_encouraged,peaceprocess_security,culturalheritage_assist,culturalheritage_security,culturalheritage_monitor,culturalheritage_encouraged
S/RES/776,UNPROFOR,Bosnia and Herzegovina,1992,14-Sep-92,0,1,,,,,,,,,,5,,,,,,,,,"5, 9",7a,,,,,,,,,,,,,,,,,,,,,5,3,4,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,"7, 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,8,,,,,,,,,,,,,,5,Mandated in current resolution in S/RES/776 paragraph(s) 3,,Mandated in current resolution in S/RES/776 paragraph(s) 6,,,,,,Mandated in current resolution in S/RES/776 paragraph(s) 3,,Mandated in current resolution in S/RES/776 paragraph(s) 3,,,,,,,,,5,,,,,,,,9,,,
S/RES/819,UNPROFOR,Bosnia and Herzegovina,1993,16-Apr-93,0,0,,,,,,,,,,Mandated in previous resolution in S/RES/819 paragraph(s) 5,,,,,,,,,"Mandated in previous resolution in S/RES/819 paragraph(s) 5, 9",Mandated in previous resolution in S/RES/819 paragraph(s) 7a,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/819 paragraph(s) 5,Mandated in previous resolution in S/RES/819 paragraph(s) 3,Mandated in previous resolution in S/RES/819 paragraph(s) 4,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/819 paragraph(s) 28,,,,,,,,,,,,,"Mandated in previous resolution in S/RES/819 paragraph(s) 7, 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/819 paragraph(s) 32,,,,,,,,,,Mandated in previous resolution in S/RES/819 paragraph(s) 8,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/819 paragraph(s) 5,"Mandated in current resolution in S/RES/819 paragraph(s) 4, 11",,Mandated in previous resolution in S/RES/819 paragraph(s) 6,,,,,,Mandated in previous resolution in S/RES/819 paragraph(s) 3,,Mandated in previous resolution in S/RES/819 paragraph(s) 3,,,,,,,,,Mandated in previous resolution in S/RES/819 paragraph(s) 5,,,,,,,,Mandated in previous resolution in S/RES/819 paragraph(s) 9,,,
S/RES/998,UNPROFOR,Bosnia and Herzegovina,1995,16-Jun-95,0,0,,,,,,,,,,Mandated in previous resolution in S/RES/998 paragraph(s) 5,,,,,,,,,"Mandated in previous resolution in S/RES/998 paragraph(s) 5, 9",Mandated in previous resolution in S/RES/998 paragraph(s) 7a,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/998 paragraph(s) 5,Mandated in previous resolution in S/RES/998 paragraph(s) 3,Mandated in previous resolution in S/RES/998 paragraph(s) 4,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/998 paragraph(s) 28,,,,,,,,,,,,,"Mandated in previous resolution in S/RES/998 paragraph(s) 7, 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/998 paragraph(s) 32,,,,,,,,,,Mandated in previous resolution in S/RES/998 paragraph(s) 8,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/998 paragraph(s) 5,"Mandated in previous resolution in S/RES/998 paragraph(s) 4, 11",,Mandated in previous resolution in S/RES/998 paragraph(s) 6,,,,,,Mandated in previous resolution in S/RES/998 paragraph(s) 3,,Mandated in previous resolution in S/RES/998 paragraph(s) 3,,,,,,,,,Mandated in previous resolution in S/RES/998 paragraph(s) 5,,,,,,,,Mandated in previous resolution in S/RES/998 paragraph(s) 9,,,
S/RES/844,UNPROFOR,Bosnia and Herzegovina,1993,18-Jun-93,0,0,,,,,,,,,,Mandated in previous resolution in S/RES/844 paragraph(s) 5,,,,,,,"Mandated in current resolution in S/RES/844 paragraph(s) 3a, 3d",,"Mandated in current resolution in S/RES/844 paragraph(s) 2a, 3b",Mandated in previous resolution in S/RES/844 paragraph(s) 7a,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/844 paragraph(s) 5,Mandated in current resolution in S/RES/844 paragraph(s) 3e,Mandated in current resolution in S/RES/844 paragraph(s) 3a,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/844 paragraph(s) 28,,,,,,,,,,,,,"Mandated in previous resolution in S/RES/844 paragraph(s) 7, 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/844 paragraph(s) 32,,,,,,,,,,Mandated in previous resolution in S/RES/844 paragraph(s) 8,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/844 paragraph(s) 5,"Mandated in previous resolution in S/RES/844 paragraph(s) 4, 11",,Mandated in previous resolution in S/RES/844 paragraph(s) 6,,,,,,Mandated in previous resolution in S/RES/844 paragraph(s) 3,,Mandated in previous resolution in S/RES/844 paragraph(s) 3,,,,,,,,,"Mandated in current resolution in S/RES/844 paragraph(s) 2b, 3c",,,,,,,,Mandated in previous resolution in S/RES/844 paragraph(s) 9,,,
S/RES/807,UNPROFOR,Bosnia and Herzegovina,1993,19-Feb-93,1,0,,,,,,,,,,Mandated in previous resolution in S/RES/807 paragraph(s) 5,,,,,,,"Mandated in previous resolution in S/RES/807 paragraph(s) 3a, 3d",,"Mandated in previous resolution in S/RES/807 paragraph(s) 2a, 3b",Mandated in previous resolution in S/RES/807 paragraph(s) 7a,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/807 paragraph(s) 5,Mandated in previous resolution in S/RES/807 paragraph(s) 3e,Mandated in previous resolution in S/RES/807 paragraph(s) 3a,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/807 paragraph(s) 28,,,,,,,,,,,,,"Mandated in previous resolution in S/RES/807 paragraph(s) 7, 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/807 paragraph(s) 32,,,,,,,,,,Mandated in previous resolution in S/RES/807 paragraph(s) 8,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/807 paragraph(s) 5,"Mandated in previous resolution in S/RES/807 paragraph(s) 4, 11",,Mandated in previous resolution in S/RES/807 paragraph(s) 6,,,,,,Mandated in previous resolution in S/RES/807 paragraph(s) 3,,Mandated in previous resolution in S/RES/807 paragraph(s) 3,,,,,,,,,"Mandated in previous resolution in S/RES/807 paragraph(s) 2b, 3c",,,,,,,,Mandated in previous resolution in S/RES/807 paragraph(s) 9,,,
S/RES/959,UNPROFOR,Bosnia and Herzegovina,1994,19-Nov-94,0,0,,,,,,,,,,Mandated in previous resolution in S/RES/959 paragraph(s) 5,,,,,,,"Mandated in previous resolution in S/RES/959 paragraph(s) 3a, 3d",,"Mandated in previous resolution in S/RES/959 paragraph(s) 2a, 3b",Mandated in previous resolution in S/RES/959 paragraph(s) 7a,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/959 paragraph(s) 5,Mandated in previous resolution in S/RES/959 paragraph(s) 3e,Mandated in previous resolution in S/RES/959 paragraph(s) 3a,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/959 paragraph(s) 28,,,,,,,,,,,,,"Mandated in previous resolution in S/RES/959 paragraph(s) 7, 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/959 paragraph(s) 32,,,,,,,,,,Mandated in previous resolution in S/RES/959 paragraph(s) 8,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/959 paragraph(s) 5,"Mandated in previous resolution in S/RES/959 paragraph(s) 4, 11",,Mandated in previous resolution in S/RES/959 paragraph(s) 6,,,,,,Mandated in previous resolution in S/RES/959 paragraph(s) 3,,Mandated in previous resolution in S/RES/959 paragraph(s) 3,,,,,,,,,"Mandated in previous resolution in S/RES/959 paragraph(s) 2b, 3c",Mandated in current resolution in S/RES/959 paragraph(s) 6,,,,,,,Mandated in previous resolution in S/RES/959 paragraph(s) 9,,,
S/RES/743,UNPROFOR,Bosnia and Herzegovina,1992,21-Feb-92,0,0,,,,,,,,,,Mandated in current resolution in S/RES/743 paragraph(s) 11,,,,,,,"Mandated in previous resolution in S/RES/743 paragraph(s) 3a, 3d",,"Mandated in previous resolution in S/RES/743 paragraph(s) 2a, 3b",Mandated in previous resolution in S/RES/743 paragraph(s) 7a,,,,,,,,,,,,,Mandated in current resolution in S/RES/743 paragraph(s) 17c,"Mandated in current resolution in S/RES/743 paragraph(s) 16, 17b",,,,,,,Mandated in previous resolution in S/RES/743 paragraph(s) 5,Mandated in previous resolution in S/RES/743 paragraph(s) 3e,Mandated in previous resolution in S/RES/743 paragraph(s) 3a,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/743 paragraph(s) 28,,,,,,,,,,,,,"Mandated in previous resolution in S/RES/743 paragraph(s) 7, 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/743 paragraph(s) 32,,,,,,,,,,Mandated in previous resolution in S/RES/743 paragraph(s) 8,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/743 paragraph(s) 5,"Mandated in previous resolution in S/RES/743 paragraph(s) 4, 11",,Mandated in previous resolution in S/RES/743 paragraph(s) 6,,,,,,Mandated in current resolution in S/RES/743 paragraph(s) 19,,Mandated in previous resolution in S/RES/743 paragraph(s) 3,,,,,,,,,"Mandated in previous resolution in S/RES/743 paragraph(s) 2b, 3c",Mandated in previous resolution in S/RES/743 paragraph(s) 6,,,,,,,Mandated in previous resolution in S/RES/743 paragraph(s) 9,,,
S/RES/913,UNPROFOR,Bosnia and Herzegovina,1994,22-Apr-94,0,0,,,,,,,,,,Mandated in previous resolution in S/RES/913 paragraph(s) 11,,,,,,,"Mandated in previous resolution in S/RES/913 paragraph(s) 3a, 3d",,"Mandated in previous resolution in S/RES/913 paragraph(s) 2a, 3b",Mandated in previous resolution in S/RES/913 paragraph(s) 7a,,,,,,,,,,,,,Mandated in previous resolution in S/RES/913 paragraph(s) 17c,"Mandated in previous resolution in S/RES/913 paragraph(s) 16, 17b",,,,,,,Mandated in previous resolution in S/RES/913 paragraph(s) 5,Mandated in previous resolution in S/RES/913 paragraph(s) 3e,Mandated in previous resolution in S/RES/913 paragraph(s) 3a,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/913 paragraph(s) 28,,,,,,,,,,,,,"Mandated in previous resolution in S/RES/913 paragraph(s) 7, 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/913 paragraph(s) 32,,,,,,,,,,Mandated in previous resolution in S/RES/913 paragraph(s) 8,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/913 paragraph(s) 5,"Mandated in previous resolution in S/RES/913 paragraph(s) 4, 11",,Mandated in previous resolution in S/RES/913 paragraph(s) 6,,,,,,Mandated in previous resolution in S/RES/913 paragraph(s) 19,,Mandated in previous resolution in S/RES/913 paragraph(s) 3,,,,,,,,,"Mandated in previous resolution in S/RES/913 paragraph(s) 2b, 3c",Mandated in previous resolution in S/RES/913 paragraph(s) 6,,,,Mandated in current resolution in S/RES/913 paragraph(s) 1,,,Mandated in previous resolution in S/RES/913 paragraph(s) 9,,,
S/RES/914,UNPROFOR,Bosnia and Herzegovina,1994,27-Apr-94,0,0,,,,,,,,,,Mandated in previous resolution in S/RES/914 paragraph(s) 11,,,,,,,"Mandated in previous resolution in S/RES/914 paragraph(s) 3a, 3d",,"Mandated in previous resolution in S/RES/914 paragraph(s) 2a, 3b",Mandated in previous resolution in S/RES/914 paragraph(s) 7a,,,,,,,,,,,,,Mandated in previous resolution in S/RES/914 paragraph(s) 17c,"Mandated in previous resolution in S/RES/914 paragraph(s) 16, 17b",,,,,,,Mandated in previous resolution in S/RES/914 paragraph(s) 5,Mandated in previous resolution in S/RES/914 paragraph(s) 3e,Mandated in previous resolution in S/RES/914 paragraph(s) 3a,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/914 paragraph(s) 28,,,,,,,,,,,,,"Mandated in previous resolution in S/RES/914 paragraph(s) 7, 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/914 paragraph(s) 32,,,,,,,,,,Mandated in previous resolution in S/RES/914 paragraph(s) 8,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/914 paragraph(s) 5,"Mandated in previous resolution in S/RES/914 paragraph(s) 4, 11",,Mandated in previous resolution in S/RES/914 paragraph(s) 6,,,,,,Mandated in previous resolution in S/RES/914 paragraph(s) 19,,Mandated in previous resolution in S/RES/914 paragraph(s) 3,,,,,,,,,"Mandated in previous resolution in S/RES/914 paragraph(s) 2b, 3c",Mandated in previous resolution in S/RES/914 paragraph(s) 6,,,,Mandated in previous resolution in S/RES/914 paragraph(s) 1,,,Mandated in previous resolution in S/RES/914 paragraph(s) 9,,,
S/RES/761,UNPROFOR,Bosnia and Herzegovina,1992,29-Jun-92,1,0,,,,,,,,,,Mandated in previous resolution in S/RES/761 paragraph(s) 11,,,,,,,"Mandated in previous resolution in S/RES/761 paragraph(s) 3a, 3d",,"Mandated in previous resolution in S/RES/761 paragraph(s) 2a, 3b",Mandated in previous resolution in S/RES/761 paragraph(s) 7a,,,,,,,,,,,,,Mandated in previous resolution in S/RES/761 paragraph(s) 17c,"Mandated in previous resolution in S/RES/761 paragraph(s) 16, 17b",,,,,,,Mandated in current resolution in S/RES/761 paragraph(s) 4,Mandated in previous resolution in S/RES/761 paragraph(s) 3e,Mandated in previous resolution in S/RES/761 paragraph(s) 3a,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/761 paragraph(s) 28,,,,,,,,,,,,,"Mandated in previous resolution in S/RES/761 paragraph(s) 7, 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/761 paragraph(s) 32,,,,,,,,,,Mandated in previous resolution in S/RES/761 paragraph(s) 8,,,,,,,,,,,,,,Mandated in current resolution in S/RES/761 paragraph(s) 5,Mandated in current resolution in S/RES/761 paragraph(s) 4,,Mandated in current resolution in S/RES/761 paragraph(s) 4,,,,,,Mandated in previous resolution in S/RES/761 paragraph(s) 19,,Mandated in previous resolution in S/RES/761 paragraph(s) 3,,,,,,,,,"Mandated in previous resolution in S/RES/761 paragraph(s) 2b, 3c",Mandated in previous resolution in S/RES/761 paragraph(s) 6,,,,Mandated in previous resolution in S/RES/761 paragraph(s) 1,,,Mandated in previous resolution in S/RES/761 paragraph(s) 9,,,
S/RES/762,UNPROFOR,Bosnia and Herzegovina,1992,30-Jun-92,0,0,,,,,,,,,,Mandated in previous resolution in S/RES/762 paragraph(s) 11,,,,,,,"Mandated in previous resolution in S/RES/762 paragraph(s) 3a, 3d",,"Mandated in previous resolution in S/RES/762 paragraph(s) 2a, 3b",Mandated in previous resolution in S/RES/762 paragraph(s) 7a,,,,,,,,,,,,,Mandated in current resolution in S/RES/762 paragraph(s) 16 d,"Mandated in previous resolution in S/RES/762 paragraph(s) 16, 17b",,,,,,,Mandated in current resolution in S/RES/762 paragraph(s) 16 b,"Mandated in current resolution in S/RES/762 paragraph(s) 16 b, 16 c",Mandated in previous resolution in S/RES/762 paragraph(s) 3a,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/762 paragraph(s) 28,,,,,,,,,,,Mandated in current resolution in S/RES/762 paragraph(s) 16 a,,"Mandated in previous resolution in S/RES/762 paragraph(s) 7, 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/762 paragraph(s) 32,,,,,,,,,,Mandated in previous resolution in S/RES/762 paragraph(s) 8,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/762 paragraph(s) 5,Mandated in previous resolution in S/RES/762 paragraph(s) 4,,Mandated in previous resolution in S/RES/762 paragraph(s) 4,,,,,,Mandated in previous resolution in S/RES/762 paragraph(s) 19,,Mandated in previous resolution in S/RES/762 paragraph(s) 3,,,,,,,,,"Mandated in previous resolution in S/RES/762 paragraph(s) 2b, 3c",Mandated in previous resolution in S/RES/762 paragraph(s) 6,,,,Mandated in previous resolution in S/RES/762 paragraph(s) 1,,,Mandated in previous resolution in S/RES/762 paragraph(s) 9,,,
S/RES/847,UNPROFOR,Bosnia and Herzegovina,1993,30-Jun-93,1,0,,,,,,,,,,Mandated in previous resolution in S/RES/847 paragraph(s) 11,,,,,,,"Mandated in previous resolution in S/RES/847 paragraph(s) 3a, 3d",,"Mandated in previous resolution in S/RES/847 paragraph(s) 2a, 3b",Mandated in previous resolution in S/RES/847 paragraph(s) 7a,,,,,,,,,,,,,Mandated in previous resolution in S/RES/847 paragraph(s) 16 d,"Mandated in previous resolution in S/RES/847 paragraph(s) 16, 17b",,,,,,,Mandated in previous resolution in S/RES/847 paragraph(s) 16 b,"Mandated in previous resolution in S/RES/847 paragraph(s) 16 b, 16 c",Mandated in previous resolution in S/RES/847 paragraph(s) 3a,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/847 paragraph(s) 28,,,,,,,,,,,Mandated in previous resolution in S/RES/847 paragraph(s) 16 a,,"Mandated in previous resolution in S/RES/847 paragraph(s) 7, 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/847 paragraph(s) 32,,,,,,,,,,Mandated in previous resolution in S/RES/847 paragraph(s) 8,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/847 paragraph(s) 5,Mandated in previous resolution in S/RES/847 paragraph(s) 4,,Mandated in previous resolution in S/RES/847 paragraph(s) 4,,,,,,Mandated in previous resolution in S/RES/847 paragraph(s) 19,,Mandated in previous resolution in S/RES/847 paragraph(s) 3,,,,,,,,,"Mandated in previous resolution in S/RES/847 paragraph(s) 2b, 3c",Mandated in previous resolution in S/RES/847 paragraph(s) 6,,,,Mandated in previous resolution in S/RES/847 paragraph(s) 1,,,Mandated in previous resolution in S/RES/847 paragraph(s) 9,,,
S/RES/815,UNPROFOR,Bosnia and Herzegovina,1993,30-Mar-93,1,0,,,,,,,,,,Mandated in previous resolution in S/RES/815 paragraph(s) 11,,,,,,,"Mandated in previous resolution in S/RES/815 paragraph(s) 3a, 3d",,"Mandated in previous resolution in S/RES/815 paragraph(s) 2a, 3b",Mandated in previous resolution in S/RES/815 paragraph(s) 7a,,,,,,,,,,,,,Mandated in previous resolution in S/RES/815 paragraph(s) 16 d,"Mandated in previous resolution in S/RES/815 paragraph(s) 16, 17b",,,,,,,Mandated in previous resolution in S/RES/815 paragraph(s) 16 b,"Mandated in previous resolution in S/RES/815 paragraph(s) 16 b, 16 c",Mandated in previous resolution in S/RES/815 paragraph(s) 3a,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/815 paragraph(s) 28,,,,,,,,,,,Mandated in previous resolution in S/RES/815 paragraph(s) 16 a,,"Mandated in previous resolution in S/RES/815 paragraph(s) 7, 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/815 paragraph(s) 32,,,,,,,,,,Mandated in previous resolution in S/RES/815 paragraph(s) 8,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/815 paragraph(s) 5,Mandated in previous resolution in S/RES/815 paragraph(s) 4,,Mandated in previous resolution in S/RES/815 paragraph(s) 4,,,,,,Mandated in previous resolution in S/RES/815 paragraph(s) 19,,Mandated in previous resolution in S/RES/815 paragraph(s) 3,,,,,,,,,"Mandated in previous resolution in S/RES/815 paragraph(s) 2b, 3c",Mandated in previous resolution in S/RES/815 paragraph(s) 6,,,,Mandated in previous resolution in S/RES/815 paragraph(s) 1,,,Mandated in previous resolution in S/RES/815 paragraph(s) 9,,,
S/RES/1026,UNPROFOR,Bosnia and Herzegovina,1995,30-Nov-95,1,0,,,,,,,,,,Mandated in previous resolution in S/RES/1026 paragraph(s) 11,,,,,,,"Mandated in previous resolution in S/RES/1026 paragraph(s) 3a, 3d",,"Mandated in previous resolution in S/RES/1026 paragraph(s) 2a, 3b",Mandated in previous resolution in S/RES/1026 paragraph(s) 7a,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1026 paragraph(s) 16 d,"Mandated in previous resolution in S/RES/1026 paragraph(s) 16, 17b",,,,,,,Mandated in previous resolution in S/RES/1026 paragraph(s) 16 b,"Mandated in previous resolution in S/RES/1026 paragraph(s) 16 b, 16 c",Mandated in previous resolution in S/RES/1026 paragraph(s) 3a,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1026 paragraph(s) 28,,,,,,,,,,,Mandated in previous resolution in S/RES/1026 paragraph(s) 16 a,,"Mandated in previous resolution in S/RES/1026 paragraph(s) 7, 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1026 paragraph(s) 32,,,,,,,,,,Mandated in previous resolution in S/RES/1026 paragraph(s) 8,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/1026 paragraph(s) 5,Mandated in previous resolution in S/RES/1026 paragraph(s) 4,,Mandated in previous resolution in S/RES/1026 paragraph(s) 4,,,,,,Mandated in previous resolution in S/RES/1026 paragraph(s) 19,,Mandated in previous resolution in S/RES/1026 paragraph(s) 3,,,,,,,,,"Mandated in previous resolution in S/RES/1026 paragraph(s) 2b, 3c",Mandated in previous resolution in S/RES/1026 paragraph(s) 6,,,,Mandated in previous resolution in S/RES/1026 paragraph(s) 1,,,Mandated in previous resolution in S/RES/1026 paragraph(s) 9,,,
S/RES/869,UNPROFOR,Bosnia and Herzegovina,1993,30-Sep-93,1,0,,,,,,,,,,Mandated in previous resolution in S/RES/869 paragraph(s) 11,,,,,,,"Mandated in previous resolution in S/RES/869 paragraph(s) 3a, 3d",,"Mandated in previous resolution in S/RES/869 paragraph(s) 2a, 3b",Mandated in previous resolution in S/RES/869 paragraph(s) 7a,,,,,,,,,,,,,Mandated in previous resolution in S/RES/869 paragraph(s) 16 d,"Mandated in previous resolution in S/RES/869 paragraph(s) 16, 17b",,,,,,,Mandated in previous resolution in S/RES/869 paragraph(s) 16 b,"Mandated in previous resolution in S/RES/869 paragraph(s) 16 b, 16 c",Mandated in previous resolution in S/RES/869 paragraph(s) 3a,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/869 paragraph(s) 28,,,,,,,,,,,Mandated in previous resolution in S/RES/869 paragraph(s) 16 a,,"Mandated in previous resolution in S/RES/869 paragraph(s) 7, 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/869 paragraph(s) 32,,,,,,,,,,Mandated in previous resolution in S/RES/869 paragraph(s) 8,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/869 paragraph(s) 5,Mandated in previous resolution in S/RES/869 paragraph(s) 4,,Mandated in previous resolution in S/RES/869 paragraph(s) 4,,,,,,Mandated in previous resolution in S/RES/869 paragraph(s) 19,,Mandated in previous resolution in S/RES/869 paragraph(s) 3,,,,,,,,,"Mandated in previous resolution in S/RES/869 paragraph(s) 2b, 3c",Mandated in previous resolution in S/RES/869 paragraph(s) 6,,,,Mandated in previous resolution in S/RES/869 paragraph(s) 1,,,Mandated in previous resolution in S/RES/869 paragraph(s) 9,,,
S/RES/947,UNPROFOR,Bosnia and Herzegovina,1994,30-Sep-94,1,0,,,,,,,,,,Mandated in previous resolution in S/RES/947 paragraph(s) 11,,,,,,,"Mandated in previous resolution in S/RES/947 paragraph(s) 3a, 3d",,"Mandated in previous resolution in S/RES/947 paragraph(s) 2a, 3b",Mandated in previous resolution in S/RES/947 paragraph(s) 7a,,Mandated in current resolution in S/RES/947 paragraph(s) 1 + 49 (S/1994/1067),,,,,,,,,,,Mandated in previous resolution in S/RES/947 paragraph(s) 16 d,"Mandated in previous resolution in S/RES/947 paragraph(s) 16, 17b",,,,,,,Mandated in previous resolution in S/RES/947 paragraph(s) 16 b,"Mandated in previous resolution in S/RES/947 paragraph(s) 16 b, 16 c",Mandated in previous resolution in S/RES/947 paragraph(s) 3a,,,,,,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/947 paragraph(s) 28,,,,Mandated in current resolution in S/RES/947 paragraph(s) 1 + 29 (S/1994/1067) ?,,,,,,,Mandated in current resolution in S/RES/947 paragraph(s) 14,,"Mandated in previous resolution in S/RES/947 paragraph(s) 7, 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mandated in current resolution in S/RES/947 paragraph(s) 1 + 32 (S/1994/1067) ?,,,,,,,,,,Mandated in previous resolution in S/RES/947 paragraph(s) 8,,,,,,,,,,,,,,Mandated in previous resolution in S/RES/947 paragraph(s) 5,Mandated in previous resolution in S/RES/947 paragraph(s) 4,,Mandated in previous resolution in S/RES/947 paragraph(s) 4,,,,,,Mandated in previous resolution in S/RES/947 paragraph(s) 19,Mandated in current resolution in S/RES/947 paragraph(s) 13 + 39 (S/1994/1067),Mandated in previous resolution in S/RES/947 paragraph(s) 3,,,,,,,,,"Mandated in previous resolution in S/RES/947 paragraph(s) 2b, 3c",Mandated in previous resolution in S/RES/947 paragraph(s) 6,,,,Mandated in previous resolution in S/RES/947 paragraph(s) 1,,,Mandated in previous resolution in S/RES/947 paragraph(s) 9,,,
